bridge_player_season_id,player_id,season_id,team_id,position,position_info,shirt_number,age,transfer_sequence
2100_1,2100,777,131,M,Left/Centre/Right Central Midfielder,20,39,1
2896_1,2896,777,23,G,Goalkeeper,26,38,1
2933_1,2933,777,12,G,Goalkeeper,22,39,1
3170_1,3170,777,127,G,Goalkeeper,17,37,1
3309_1,3309,777,25,G,Goalkeeper,22,40,1
3452_1,3452,777,131,F,Centre Striker,18,34,1
3457_1,3457,777,131,G,Goalkeeper,23,34,1
3512_1,3512,777,127,D,Right Full Back,15,34,1
3600_1,3600,777,7,D,Right Full Back,23,36,1
3712_1,3712,777,130,M,Centre Central Midfielder,6,35,1
3756_1,3756,777,15,F,Forward,11,33,1
3894_1,3894,777,34,M,Left/Centre/Right Attacking Midfielder,10,34,1
3905_1,3905,777,23,D,Right Full Back,2,34,1
3955_1,3955,777,43,D,Right Full Back,2,35,1
4115_1,4115,777,2,M,Centre Central Midfielder,6,31,1
4229_1,4229,777,38,D,Right Full Back,2,33,1
4245_1,4245,777,2,G,Goalkeeper,23,33,1
4260_1,4260,777,7,M,Attacking Midfielder,18,29,1
4331_1,4331,777,38,G,Goalkeeper,31,32,1
4333_1,4333,777,7,D,Centre Central Defender,5,32,1
4408_1,4408,777,21,D,Left Full Back,33,32,1
4499_1,4499,777,11,D,Left/Centre Central Defender,6,30,1
4505_1,4505,777,11,D,Centre Central Defender,5,31,1
4511_1,4511,777,11,G,Goalkeeper,13,33,1
4604_1,4604,777,6,D,Right Full Back,17,34,1
4608_1,4608,777,12,D,Left Full Back,23,30,1
4617_1,4617,777,25,M,Centre Central Midfielder,20,30,1
4617_2,4617,777,43,M,Centre Central Midfielder,20,31,2
4640_1,4640,777,7,G,Goalkeeper,1,31,1
4717_1,4717,777,34,F,Left/Centre/Right Second Striker,17,29,1
4727_1,4727,777,29,G,Goalkeeper,21,35,1
4818_1,4818,777,34,M,Centre Central Midfielder,6,30,1
4874_1,4874,777,131,D,Centre/Right Full Back,34,33,1
4880_1,4880,777,34,D,Right Full Back,2,29,1
4979_1,4979,777,34,F,Right Winger,17,29,1
4979_2,4979,777,25,F,Right Winger,17,30,2
4985_1,4985,777,34,G,Goalkeeper,1,33,1
5066_1,5066,777,2,D,Centre Central Defender,3,31,1
5067_1,5067,777,11,M,Left/Centre Attacking Midfielder,20,31,1
5140_1,5140,777,10,D,Centre Central Defender,4,34,1
5178_1,5178,777,10,F,Left/Centre/Right Winger,11,33,1
5220_1,5220,777,23,D,Defender,5,33,1
5748_1,5748,777,25,G,Goalkeeper,23,32,1
5758_1,5758,777,2,D,Left Full Back,12,32,1
5793_1,5793,777,12,M,Centre Central Midfielder,18,33,1
5865_1,5865,777,2,M,Centre Central Midfielder,8,28,1
6451_1,6451,777,43,G,Goalkeeper,1,37,1
6712_1,6712,777,34,D,Right Full Back,21,29,1
7975_1,7975,777,1,G,Goalkeeper,1,29,1
8127_1,8127,777,43,M,Central Midfielder,29,30,1
8143_1,8143,777,7,D,Centre Central Defender,6,32,1
8163_1,8163,777,131,D,Defender,30,33,1
8171_1,8171,777,131,M,Right Winger,7,31,1
8246_1,8246,777,43,F,Striker,35,35,1
8321_1,8321,777,23,G,Goalkeeper,29,33,1
8454_1,8454,777,25,F,Striker,9,33,1
8456_1,8456,777,21,M,Left/Centre/Right Attacking Midfielder,10,29,1
8589_1,8589,777,6,M,Centre Central Midfielder,19,30,1
8658_1,8658,777,2,F,Left/Centre/Right Second Striker,11,29,1
8707_1,8707,777,23,D,Centre Central Defender,33,33,1
8868_1,8868,777,25,F,Centre Striker,20,28,1
8900_1,8900,777,2,D,Centre Central Defender,5,32,1
8938_1,8938,777,9,G,Goalkeeper,21,32,1
8945_1,8945,777,9,D,Right Full Back,25,31,1
9199_1,9199,777,38,F,Centre Striker,9,28,1
9251_1,9251,777,9,G,Goalkeeper,26,35,1
9257_1,9257,777,23,D,Central Defender,24,,1
9566_1,9566,777,12,D,Centre Central Defender,5,32,1
9576_1,9576,777,9,F,Striker,9,28,1
9662_1,9662,777,23,M,Left/Right Winger,14,30,1
10079_1,10079,777,23,G,Goalkeeper,1,33,1
10361_1,10361,777,29,M,Centre Central Midfielder,13,31,1
10394_1,10394,777,29,F,Left/Right Winger,25,30,1
10439_1,10439,777,15,D,Right Full Back,34,28,1
10443_1,10443,777,21,F,Striker,19,27,1
10458_1,10458,777,10,D,Left Full Back,26,31,1
10479_1,10479,777,10,G,Goalkeeper,28,29,1
10539_1,10539,777,43,M,Centre Central Midfielder,24,29,1
10651_1,10651,777,10,D,Left/Centre/Right Central Defender,2,28,1
10766_1,10766,777,127,M,Centre Central Midfielder,4,28,1
10801_1,10801,777,7,G,Goalkeeper,31,30,1
10947_1,10947,777,130,D,Left Full Back,3,28,1
11071_1,11071,777,34,F,Striker,7,34,1
11284_1,11284,777,29,D,Left Full Back,26,,1
11373_1,11373,777,1,G,Goalkeeper,13,30,1
11419_1,11419,777,1,M,Left/Centre/Right Attacking Midfielder,8,26,1
12136_1,12136,777,29,M,Central Defender,34,32,1
12520_1,12520,777,11,M,Centre Central Midfielder,8,31,1
12582_1,12582,777,7,M,Centre Defensive Midfielder,27,35,1
13274_1,13274,777,2,D,Centre Central Defender,4,27,1
13286_1,13286,777,2,F,Centre Striker,18,28,1
13344_1,13344,777,2,D,Right Full Back,2,28,1
13515_1,13515,777,9,D,Defender,24,27,1
13522_1,13522,777,25,D,Left/Centre Central Defender,3,28,1
13549_1,13549,777,4,D,Centre Central Defender,4,27,1
13559_1,13559,777,43,D,Right Full Back,6,28,1
13622_1,13622,777,43,D,Centre Central Defender,4,28,1
13703_1,13703,777,23,G,Goalkeeper,32,27,1
13706_1,13706,777,127,M,Left/Centre/Right Attacking Midfielder,36,28,1
13796_1,13796,777,9,D,Central Defender,6,27,1
13797_1,13797,777,9,M,Left/Right Winger,7,27,1
13815_1,13815,777,25,D,Left/Right Full Back,2,28,1
13917_1,13917,777,9,D,Right Full Back,33,29,1
13961_1,13961,777,34,F,Left/Right Winger,8,28,1
13988_1,13988,777,6,G,Goalkeeper,1,28,1
14164_1,14164,777,25,D,Right Full Back,29,27,1
14238_1,14238,777,15,M,Left/Centre/Right Attacking Midfielder,22,27,1
14445_1,14445,777,34,M,Centre Attacking Midfielder,32,25,1
14446_1,14446,777,23,M,Centre Attacking Midfielder,28,26,1
14450_1,14450,777,130,F,Striker,11,25,1
14451_1,14451,777,6,F,Centre Striker,9,26,1
14456_1,14456,777,2,F,Striker,14,26,1
14457_1,14457,777,130,M,Midfielder,10,27,1
14538_1,14538,777,4,G,Goalkeeper,1,27,1
14548_1,14548,777,1,D,Centre/Right Central Defender,4,27,1
14569_1,14569,777,6,D,Centre Central Defender,15,25,1
14569_2,14569,777,11,D,Centre Central Defender,15,25,2
14571_1,14571,777,4,D,Right Full Back,24,25,1
14575_1,14575,777,4,D,Centre Central Defender,27,26,1
14580_1,14580,777,12,M,Centre Attacking Midfielder,7,26,1
14608_1,14608,777,9,D,Right Full Back,2,25,1
14624_1,14624,777,34,D,Left Full Back,33,28,1
14656_1,14656,777,34,M,Left/Right Winger,30,25,1
14671_1,14671,777,131,M,Midfielder,17,24,1
14706_1,14706,777,7,M,Central Midfielder,22,26,1
14716_1,14716,777,23,M,Left/Right Winger,11,27,1
14723_1,14723,777,130,G,Goalkeeper,1,26,1
14801_1,14801,777,2,F,Left/Right Winger,19,25,1
14805_1,14805,777,11,M,Centre/Right Attacking Midfielder,47,25,1
14807_1,14807,777,9,F,Striker,14,26,1
14830_1,14830,777,38,M,Centre Attacking Midfielder,47,25,1
14846_1,14846,777,127,M,Midfielder,16,26,1
14897_1,14897,777,9,M,Central Midfielder,8,27,1
15114_1,15114,777,21,G,Goalkeeper,49,26,1
15139_1,15139,777,43,F,Right Winger,10,26,1
15202_1,15202,777,1,M,Centre Central Midfielder,41,26,1
15259_1,15259,777,15,M,Centre Central Midfielder,10,25,1
15269_1,15269,777,15,G,Goalkeeper,18,30,1
15340_1,15340,777,15,F,Centre Striker,9,28,1
15572_1,15572,777,127,M,Left/Centre/Right Attacking Midfielder,10,30,1
15715_1,15715,777,38,G,Goalkeeper,1,32,1
15802_1,15802,777,10,F,Left/Centre/Right Winger,14,27,1
16035_1,16035,777,15,D,Centre Central Defender,31,27,1
16044_1,16044,777,34,M,Central Midfielder,20,29,1
16169_1,16169,777,43,G,Goalkeeper,32,34,1
16204_1,16204,777,15,D,Centre Central Defender,30,34,1
16286_1,16286,777,11,M,Centre Central Midfielder,16,29,1
16431_1,16431,777,11,D,Centre Central Defender,3,28,1
16582_1,16582,777,127,F,Centre Striker,26,28,1
16723_1,16723,777,15,G,Goalkeeper,26,33,1
16788_1,16788,777,6,F,Centre Striker,11,,1
19620_1,19620,777,15,D,Left Full Back,35,,1
19680_1,19680,777,1,F,Second Striker,9,28,1
19731_1,19731,777,9,D,Central Defender,4,24,1
19778_1,19778,777,1,M,Centre Central Midfielder,23,29,1
19831_1,19831,777,43,F,Left Winger,7,26,1
19858_1,19858,777,21,M,Defensive Midfielder,6,30,1
19864_1,19864,777,29,D,Centre Central Defender,5,25,1
19888_1,19888,777,23,M,Left/Centre Winger,41,24,1
19919_1,19919,777,10,D,Right Full Back,30,24,1
20077_1,20077,777,29,D,Defender,51,19,1
20113_1,20113,777,130,D,Centre Central Defender,20,27,1
20118_1,20118,777,6,D,Left Full Back,24,27,1
20226_1,20226,777,12,D,Centre Central Defender,4,26,1
20337_1,20337,777,38,F,Centre Striker,11,29,1
20473_1,20473,777,2,G,Goalkeeper,40,34,1
20486_1,20486,777,1,F,Left Winger,19,30,1
20489_1,20489,777,2,F,Right Winger,31,28,1
20497_1,20497,777,6,G,Goalkeeper,44,32,1
20505_1,20505,777,131,D,Central Defender,21,28,1
20559_1,20559,777,10,G,Goalkeeper,1,33,1
20607_1,20607,777,23,M,Left Central Midfielder,7,29,1
20810_1,20810,777,1,F,Left/Centre/Right Second Striker,29,26,1
20874_1,20874,777,6,F,Centre Striker,14,28,1
21317_1,21317,777,130,G,Goalkeeper,35,25,1
21519_1,21519,777,127,F,Left/Right Winger,19,26,1
21529_1,21529,777,2,D,Central Defender,14,28,1
21584_1,21584,777,6,M,Centre Attacking Midfielder,10,27,1
21584_2,21584,777,1,M,Centre Attacking Midfielder,10,27,2
21614_1,21614,777,34,M,Centre Central Midfielder,16,27,1
21737_1,21737,777,10,F,Centre Striker,9,25,1
21887_1,21887,777,21,M,Central Midfielder,22,25,1
21912_1,21912,777,25,D,Centre Central Defender,5,27,1
21998_1,21998,777,4,F,Left/Right Winger,7,25,1
22043_1,22043,777,130,D,Left/Centre Central Defender,5,32,1
22542_1,22542,777,131,M,Centre Central Midfielder,30,34,1
22802_1,22802,777,21,M,Centre Central Midfielder,30,28,1
22857_1,22857,777,11,G,Goalkeeper,25,26,1
23194_1,23194,777,130,M,Centre Defensive Midfielder,27,27,1
23396_1,23396,777,12,M,Left/Centre/Right Attacking Midfielder,8,30,1
23581_1,23581,777,12,D,Left Full Back,3,26,1
23593_1,23593,777,10,D,Centre Central Defender,5,26,1
23702_1,23702,777,15,F,Left Winger,7,24,1
23747_1,23747,777,23,F,Winger,10,24,1
23764_1,23764,777,21,D,Right Full Back,39,25,1
23793_1,23793,777,34,D,Left Full Back,3,25,1
23811_1,23811,777,15,D,Right Full Back,3,24,1
23815_1,23815,777,10,M,Centre Central Midfielder,48,24,1
23841_1,23841,777,7,M,Centre Central Midfielder,37,24,1
23968_1,23968,777,2,F,Left Winger,27,23,1
24252_1,24252,777,12,D,Right Full Back,5,26,1
24334_1,24334,777,6,D,Left Full Back,39,25,1
24369_1,24369,777,130,F,Striker,23,24,1
24626_1,24626,777,15,M,Centre Central Midfielder,21,27,1
24626_2,24626,777,2,M,Centre Central Midfielder,21,27,2
24630_1,24630,777,21,F,Left/Centre/Right Second Striker,9,28,1
24659_1,24659,777,130,D,Centre Central Defender,22,24,1
24797_1,24797,777,7,F,Left Winger,7,25,1
24983_1,24983,777,7,D,Left Full Back,16,26,1
25067_1,25067,777,2,M,Centre Defensive Midfielder,44,25,1
25183_1,25183,777,25,M,Centre Defensive Midfielder,28,30,1
25408_1,25408,777,29,D,Defender,6,25,1
25474_1,25474,777,127,F,Left/Right Winger,42,25,1
25474_2,25474,777,11,F,Left/Right Winger,42,26,2
25892_1,25892,777,21,D,Centre Central Defender,4,26,1
26151_1,26151,777,34,D,Centre Central Defender,5,29,1
26335_1,26335,777,11,M,Centre Central Midfielder,4,27,1
26408_1,26408,777,2,M,Attacking Midfielder,16,28,1
27277_1,27277,777,4,D,Left Wing Back,3,27,1
31442_1,31442,777,43,F,Striker,27,24,1
31936_1,31936,777,7,F,Left Winger,10,25,1
32229_1,32229,777,21,D,Right Full Back,23,25,1
32280_1,32280,777,11,G,Goalkeeper,1,22,1
32289_1,32289,777,130,M,Left/Centre/Right Attacking Midfielder,14,22,1
32638_1,32638,777,25,D,Centre Central Defender,15,27,1
32728_1,32728,777,1,F,Striker,14,27,1
32894_1,32894,777,10,F,Centre Striker,18,26,1
33032_1,33032,777,127,F,Centre Striker,9,25,1
33124_1,33124,777,9,D,Centre Central Defender,5,26,1
33162_1,33162,777,9,F,Winger,19,25,1
33185_1,33185,777,10,M,Left/Centre/Right Attacking Midfielder,9,22,1
33185_2,33185,777,2,M,Left/Centre/Right Attacking Midfielder,9,22,2
33231_1,33231,777,10,M,Left/Centre/Right Attacking Midfielder,8,24,1
33245_1,33245,777,12,D,Right Full Back,3,27,1
35670_1,35670,777,38,F,Striker,22,25,1
35670_2,35670,777,6,F,Striker,22,26,2
35699_1,35699,777,43,D,Centre Central Defender,36,25,1
35718_1,35718,777,9,D,Central Defender,23,26,1
35731_1,35731,777,29,M,Midfielder,6,23,1
35752_1,35752,777,34,D,Central Defender,15,25,1
37776_1,37776,777,6,M,Centre Central Midfielder,8,30,1
40159_1,40159,777,25,M,Centre Defensive Midfielder,24,,1
40211_1,40211,777,25,M,Midfielder,11,27,1
42331_1,42331,777,1,M,Defensive Midfielder,16,31,1
42569_1,42569,777,25,F,Centre Striker,11,,1
42894_1,42894,777,127,M,Midfielder,12,26,1
43010_1,43010,777,38,D,Defender,5,26,1
43586_1,43586,777,10,M,Centre Defensive Midfielder,3,32,1
47133_1,47133,777,15,G,Goalkeeper,27,32,1
49259_1,49259,777,23,F,Left Winger,20,23,1
49270_1,49270,777,15,M,Centre/Right Attacking Midfielder,24,22,1
49293_1,49293,777,4,M,Attacking Midfielder,10,23,1
49316_1,49316,777,21,M,Right Winger,21,25,1
49374_1,49374,777,21,F,Centre Striker,11,24,1
49374_2,49374,777,6,F,Centre Striker,11,24,2
49481_1,49481,777,1,F,Left Winger,77,23,1
49494_1,49494,777,130,M,Attacking Midfielder,44,,1
49495_1,49495,777,23,D,Right Full Back,21,22,1
49726_1,49726,777,130,M,Centre Central Midfielder,8,29,1
49731_1,49731,777,130,M,Left/Centre Attacking Midfielder,24,25,1
49759_1,49759,777,6,M,Centre Attacking Midfielder,18,29,1
49796_1,49796,777,6,F,Right Winger,7,27,1
49884_1,49884,777,34,D,Centre Central Defender,31,28,1
49908_1,49908,777,23,D,Central Defender,4,25,1
49909_1,49909,777,10,M,Centre Central Midfielder,38,23,1
50151_1,50151,777,9,D,Central Defender,15,26,1
50234_1,50234,777,1,D,Centre Central Defender,6,27,1
50245_1,50245,777,21,M,Centre Central Midfielder,8,29,1
50453_1,50453,777,7,G,Goalkeeper,12,26,1
