fixture_id,season_id,gameweek,kickoff_datetime,stadium,attendance,home_team_id,away_team_id,fixture_status
124791,777,1,2025-08-15 19:00:00,Anfield,60315,10,127,C
124792,777,1,2025-08-16 11:30:00,Villa Park,42526,2,23,C
124793,777,1,2025-08-16 14:00:00,American Express Stadium,31478,131,34,C
124794,777,1,2025-08-17 13:00:00,The City Ground,29949,15,130,C
124795,777,1,2025-08-16 14:00:00,Stadium of Light,46233,29,25,C
124796,777,1,2025-08-16 14:00:00,Tottenham Hotspur Stadium,61077,21,43,C
124797,777,1,2025-08-16 16:30:00,Molineux Stadium,31118,38,11,C
124798,777,1,2025-08-17 13:00:00,Stamford Bridge,39678,4,6,C
124799,777,1,2025-08-17 15:30:00,Old Trafford,73475,12,1,C
124800,777,1,2025-08-18 19:00:00,Elland Road,36820,9,7,C
124801,777,2,2025-08-23 16:30:00,Emirates Stadium,60110,1,9,C
124802,777,2,2025-08-23 14:00:00,Vitality Stadium,11070,127,38,C
124803,777,2,2025-08-23 14:00:00,Gtech Community Stadium,16838,130,2,C
124804,777,2,2025-08-23 14:00:00,Turf Moor,21285,43,29,C
124805,777,2,2025-08-24 13:00:00,Selhurst Park,24876,6,15,C
124806,777,2,2025-08-24 13:00:00,Hill Dickinson Stadium,51759,7,131,C
124807,777,2,2025-08-24 15:30:00,Craven Cottage,27512,34,12,C
124808,777,2,2025-08-23 11:30:00,Etihad Stadium,52491,11,21,C
124809,777,2,2025-08-25 19:00:00,St. James' Park,52230,23,10,C
124810,777,2,2025-08-22 19:00:00,London Stadium,62462,25,4,C
124811,777,3,2025-08-31 18:00:00,Villa Park,41036,2,6,C
124812,777,3,2025-08-31 13:00:00,American Express Stadium,31485,131,11,C
124813,777,3,2025-08-30 11:30:00,Stamford Bridge,39745,4,34,C
124814,777,3,2025-08-30 16:30:00,Elland Road,36727,9,23,C
124815,777,3,2025-08-31 15:30:00,Anfield,60455,10,1,C
124816,777,3,2025-08-30 14:00:00,Old Trafford,74257,12,43,C
124817,777,3,2025-08-31 13:00:00,The City Ground,30215,15,25,C
124818,777,3,2025-08-30 14:00:00,Stadium of Light,46267,29,130,C
124819,777,3,2025-08-30 14:00:00,Tottenham Hotspur Stadium,61250,21,127,C
124820,777,3,2025-08-30 14:00:00,Molineux Stadium,30271,38,7,C
124821,777,4,2025-09-13 11:30:00,Emirates Stadium,60167,1,15,C
124822,777,4,2025-09-13 14:00:00,Vitality Stadium,11167,127,131,C
124823,777,4,2025-09-13 19:00:00,Gtech Community Stadium,16795,130,4,C
124824,777,4,2025-09-14 13:00:00,Turf Moor,21678,43,10,C
124825,777,4,2025-09-13 14:00:00,Selhurst Park,25154,6,29,C
124826,777,4,2025-09-13 14:00:00,Hill Dickinson Stadium,52114,7,2,C
124827,777,4,2025-09-13 14:00:00,Craven Cottage,27327,34,9,C
124828,777,4,2025-09-14 15:30:00,Etihad Stadium,52534,11,12,C
124829,777,4,2025-09-13 14:00:00,St. James' Park,52145,23,38,C
124830,777,4,2025-09-13 16:30:00,London Stadium,62459,25,21,C
124831,777,5,2025-09-21 15:30:00,Emirates Stadium,60161,1,11,C
124832,777,5,2025-09-21 13:00:00,Vitality Stadium,11212,127,23,C
124833,777,5,2025-09-20 14:00:00,American Express Stadium,31488,131,21,C
124834,777,5,2025-09-20 14:00:00,Turf Moor,21475,43,15,C
124835,777,5,2025-09-20 19:00:00,Craven Cottage,26113,34,130,C
124836,777,5,2025-09-20 11:30:00,Anfield,60342,10,7,C
124837,777,5,2025-09-20 16:30:00,Old Trafford,74124,12,4,C
124838,777,5,2025-09-21 13:00:00,Stadium of Light,46261,29,2,C
124839,777,5,2025-09-20 14:00:00,London Stadium,62455,25,6,C
124840,777,5,2025-09-20 14:00:00,Molineux Stadium,30807,38,9,C
124841,777,6,2025-09-28 13:00:00,Villa Park,40350,2,34,C
124842,777,6,2025-09-27 11:30:00,Gtech Community Stadium,17193,130,12,C
124843,777,6,2025-09-27 14:00:00,Stamford Bridge,39597,4,131,C
124844,777,6,2025-09-27 14:00:00,Selhurst Park,25118,6,10,C
124845,777,6,2025-09-29 19:00:00,Hill Dickinson Stadium,51890,7,25,C
124846,777,6,2025-09-27 14:00:00,Elland Road,36574,9,127,C
124847,777,6,2025-09-27 14:00:00,Etihad Stadium,52427,11,43,C
124848,777,6,2025-09-28 15:30:00,St. James' Park,52199,23,1,C
124849,777,6,2025-09-27 16:30:00,The City Ground,30226,15,29,C
124850,777,6,2025-09-27 19:00:00,Tottenham Hotspur Stadium,60537,21,38,C
124851,777,7,2025-10-04 14:00:00,Emirates Stadium,60181,1,25,C
124852,777,7,2025-10-05 13:00:00,Villa Park,40308,2,43,C
124853,777,7,2025-10-03 19:00:00,Vitality Stadium,11165,127,34,C
124854,777,7,2025-10-05 15:30:00,Gtech Community Stadium,17140,130,11,C
124855,777,7,2025-10-04 16:30:00,Stamford Bridge,39767,4,10,C
124856,777,7,2025-10-05 13:00:00,Hill Dickinson Stadium,51770,7,6,C
124857,777,7,2025-10-04 11:30:00,Elland Road,36703,9,21,C
124858,777,7,2025-10-04 14:00:00,Old Trafford,74004,12,29,C
124859,777,7,2025-10-05 13:00:00,St. James' Park,52189,23,15,C
124860,777,7,2025-10-05 13:00:00,Molineux Stadium,29504,38,131,C
124861,777,8,2025-10-18 14:00:00,American Express Stadium,31620,131,23,C
124862,777,8,2025-10-18 14:00:00,Turf Moor,21646,43,9,C
124863,777,8,2025-10-18 14:00:00,Selhurst Park,25125,6,127,C
124864,777,8,2025-10-18 16:30:00,Craven Cottage,27736,34,1,C
124865,777,8,2025-10-19 15:30:00,Anfield,60337,10,12,C
124866,777,8,2025-10-18 14:00:00,Etihad Stadium,52498,11,7,C
124867,777,8,2025-10-18 11:30:00,The City Ground,30495,15,4,C
124868,777,8,2025-10-18 14:00:00,Stadium of Light,46578,29,38,C
124869,777,8,2025-10-19 13:00:00,Tottenham Hotspur Stadium,61291,21,2,C
124870,777,8,2025-10-20 19:00:00,London Stadium,62452,25,130,C
124871,777,9,2025-10-26 14:00:00,Emirates Stadium,60103,1,6,C
124872,777,9,2025-10-26 14:00:00,Villa Park,41988,2,11,C
124873,777,9,2025-10-26 14:00:00,Vitality Stadium,11204,127,15,C
124874,777,9,2025-10-25 19:00:00,Gtech Community Stadium,17214,130,10,C
124875,777,9,2025-10-25 14:00:00,Stamford Bridge,39489,4,29,C
124876,777,9,2025-10-26 16:30:00,Hill Dickinson Stadium,52501,7,21,C
124877,777,9,2025-10-24 19:00:00,Elland Road,36788,9,25,C
124878,777,9,2025-10-25 16:30:00,Old Trafford,73987,12,131,C
124879,777,9,2025-10-25 14:00:00,St. James' Park,52152,23,34,C
124880,777,9,2025-10-26 14:00:00,Molineux Stadium,29116,38,43,C
124881,777,10,2025-11-01 15:00:00,American Express Stadium,31512,131,9,C
124882,777,10,2025-11-01 15:00:00,Turf Moor,21538,43,1,C
124883,777,10,2025-11-01 15:00:00,Selhurst Park,25083,6,130,C
