player_id,player_name,date_of_birth,country,player_photo_url
136199,Aaron Anselmino,,Argentina,https://resources.premierleague.com/premierleague/photos/players/110x140/p622758.png
115438,Aaron Bott,,England,
115166,Aaron Hickey,2002-06-10,Scotland,https://resources.premierleague.com/premierleague/photos/players/110x140/p472713.png
13703,Aaron Ramsdale,1998-05-14,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p225321.png
14164,Aaron Wan-Bissaka,1997-11-26,DR Congo,https://resources.premierleague.com/premierleague/photos/players/110x140/p214590.png
108851,Abdallah Sima,,Senegal,https://resources.premierleague.com/premierleague/photos/players/110x140/p516211.png
128863,Abdoullah Ba,2003-07-31,France,https://resources.premierleague.com/premierleague/photos/players/110x140/p477851.png
137371,Abdukodir Khusanov,2004-02-29,Uzbekistan,https://resources.premierleague.com/premierleague/photos/players/110x140/p578153.png
9199,Adam Armstrong,1997-02-10,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p155511.png
140024,Adam Aznou,2006-06-02,Morocco,https://resources.premierleague.com/premierleague/photos/players/110x140/p499300.png
117619,Adam Berry,,England,
133164,Adam Harrison,2006-10-20,England,
3512,Adam Smith,1991-04-29,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p54469.png
9426,Adam Webster,1995-01-04,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p110735.png
69595,Adam Wharton,2004-02-06,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p496221.png
4979,Adama Traoré,1996-01-25,Spain,https://resources.premierleague.com/premierleague/photos/players/110x140/p159533.png
66644,Adil Aouchiche,,Algeria,
74965,Adrien Truffert,2001-11-20,France,https://resources.premierleague.com/premierleague/photos/players/110x140/p494521.png
134829,Ahmed Abdullahi,2004-06-19,Nigeria,https://resources.premierleague.com/premierleague/photos/players/110x140/p611975.png
138560,Aidan Borland,,Scotland,
125042,Aidan Harris,2006-12-16,England,
143654,Airidas Golambeckis,2007-11-04,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p643473.png
20053,Aji Alese,,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p220684.png
31861,Albert Sambi Lokonga,,Belgium,https://resources.premierleague.com/premierleague/photos/players/110x140/p437742.png
135435,Aled Thomas,,Wales,
68987,Alejandro Garnacho,2004-07-01,Argentina,https://resources.premierleague.com/premierleague/photos/players/110x140/p493105.png
138107,Alejo Véliz,,Argentina,
8938,Alex Cairns,1993-01-04,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p97846.png
4717,Alex Iwobi,1996-05-03,Nigeria,https://resources.premierleague.com/premierleague/photos/players/110x140/p153133.png
127659,Alex Murphy,2004-06-25,Ireland,https://resources.premierleague.com/premierleague/photos/players/110x140/p545477.png
146353,Alex Paulsen,,New Zealand,https://resources.premierleague.com/premierleague/photos/players/110x140/p495145.png
74976,Alex Scott,2003-08-21,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p503139.png
135304,Alex Tóth,2005-10-23,Hungary,https://resources.premierleague.com/premierleague/photos/players/110x140/p614574.png
21737,Alexander Isak,1999-09-21,Sweden,https://resources.premierleague.com/premierleague/photos/players/110x140/p219168.png
119533,Alexei Rojas,2005-09-28,Colombia,
63633,Alexis Mac Allister,1998-12-24,Argentina,https://resources.premierleague.com/premierleague/photos/players/110x140/p243016.png
66728,Alfie Brooks,2003-10-15,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p491460.png
128977,Alfie Cresswell,2007-07-15,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p592740.png
77990,Alfie Devine,,England,
98288,Alfie Gilchrist,,England,
127536,Alfie Harrison,,England,
75203,Alfie McNally,2004-12-22,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p505079.png
108956,Alfie Pond,,England,https://resources.premierleague.com/premierleague/photos/players/110x140/p517179.png
15111,Alfie Whiteman,,England,
20559,Alisson Becker,1992-10-02,Brazil,https://resources.premierleague.com/premierleague/photos/players/110x140/p116535.png
