shot_event_id,fixture_id,season_id,team_id,player1_id,player2_id,minute,minute_display,is_stoppage_time,shot_type,body_part,distance,outcome,ingested_at,updated_at
124791_0,124791,777,10,81542,32894,3,3,False,Open Play,Right Foot,Outside Box,Saved,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_1,124791,777,10,5178,81542,4,4,False,Open Play,Left Foot,Inside Box,Saved,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_2,124791,777,10,5140,5178,5,5,False,Set Piece,Header,Inside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_3,124791,777,127,25474,74965,6,6,False,Open Play,Right Foot,Inside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_4,124791,777,127,33032,13706,10,10,False,Set Piece,Header,Inside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_5,124791,777,10,5140,75382,31,31,False,Open Play,Header,Inside Box,Saved,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_6,124791,777,127,14846,3512,35,35,False,Open Play,Right Foot,Inside Box,Saved,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_7,124791,777,10,81542,63633,37,37,False,Open Play,Right Foot,Inside Box,Goal,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_8,124791,777,10,81542,32894,39,39,False,Open Play,Header,Inside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_9,124791,777,127,13706,,42,42,False,Open Play,Right Foot,Inside Box,Blocked,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_10,124791,777,127,14846,,47,45+2',True,Open Play,Left Foot,Outside Box,Blocked,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_11,124791,777,10,5178,32894,48,45+3',True,Open Play,Left Foot,Inside Box,Blocked,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_12,124791,777,127,33032,13706,49,45+4',True,Open Play,Left Foot,Inside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_13,124791,777,10,81542,75382,47,47,False,Set Piece,,Inside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_14,124791,777,10,32894,81542,49,49,False,Open Play,Right Foot,Inside Box,Goal,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_15,124791,777,10,63633,75382,52,52,False,Open Play,Right Foot,Outside Box,Saved,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_16,124791,777,10,19919,,53,53,False,Open Play,Right Foot,Outside Box,Blocked,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
124791_17,124791,777,10,33231,,54,54,False,Open Play,Right Foot,Outside Box,Missed,2026-08-29 17:05:47.943329+00:00,2026-08-29 17:05:47.943329+00:00
