fixture_id,season_id,team_id,is_home,formation_used,possession_percentage,touches,touches_in_final_third,touches_in_opp_box,total_pass,accurate_pass,total_back_zone_pass,accurate_back_zone_pass,total_fwd_zone_pass,accurate_fwd_zone_pass,total_final_third_passes,total_long_balls,accurate_long_balls,long_pass_own_to_opp,long_pass_own_to_opp_success,total_cross,accurate_cross,corner_taken,total_corners_intobox,accurate_corners_intobox,total_throws,carries,progressive_carries,total_scoring_att,ontarget_scoring_att,attempts_obox,attempts_ibox,attempts_conceded_ibox,attempts_conceded_obox,shot_off_target,first_half_goals,subs_made,subs_goals,goals_conceded_ibox,goals_conceded_obox,big_chance_missed,big_chance_created,big_chance_scored,goal_assist,total_tackle,won_tackle,interception,ball_recovery,dispossessed,duel_won,duel_lost,aerial_won,aerial_lost,total_clearance,defensive_actions,blocked_scoring_att,outfielder_block,won_contest,total_contest,error_lead_to_goal,big_chance_saves,fk_foul_lost,ppda,penalty_faced,pen_goals_conceded,poss_won_att_3rd,poss_won_mid_3rd,poss_won_def_3rd,total_yel_card,total_red_card,total_offside,pts_gained_losing_pos,pts_dropped_winning_pos,goals_scored,goals_conceded,result,points,non_penalty_goals,penalties_scored,penalties_missed,own_goals,saves,defensive_contribution,xg,xa,xga,npxg
124791,777,10,True,4-2-3-1,61.2,713,177,36,489,401,244,224,262,182,143,51,29,68,41,17,5,6,4,2,27,121,60,19,10,4,15,8,2,7,1,5,1,1,1,2,3,1,3,16,13,4,52,11,63,52,29,18,41,26,2,3,8,17,1,1,7,9.5,0,0,5,23,18,1,0,2,0,0,4,2,W,3,4,0,0,0,1,91,2.22,1.08,1.7,2.22
124791,777,127,False,4-1-4-1,38.8,519,116,28,299,209,149,132,170,82,92,70,24,66,19,20,5,7,6,1,17,61,32,10,3,2,8,15,4,4,0,4,0,4,0,2,3,1,2,20,12,11,54,5,52,63,18,29,45,29,3,2,8,19,0,0,10,12.9,0,0,3,24,19,2,0,2,0,0,2,4,L,0,2,0,0,0,6,104,1.71,0.63,2.21,1.71
124792,777,2,True,4-2-3-1,39.9,472,0,14,310,227,143,116,178,114,73,59,17,59,24,11,3,3,1,0,18,0,0,3,3,0,3,9,7,0,0,1,0,0,0,1,1,0,0,11,5,10,50,4,40,43,10,20,20,18,0,7,9,15,0,0,13,16.9,0,0,4,18,18,1,1,2,0,0,0,0,D,1,0,0,0,0,3,77,0.2,0.22,1.43,0.2
124792,777,23,False,4-3-3,60.1,634,0,33,451,376,181,159,296,223,161,43,21,59,35,26,6,6,6,1,9,0,0,16,3,7,9,3,0,6,0,3,0,0,0,2,2,0,0,10,8,12,63,3,43,40,20,10,22,28,7,0,2,10,0,0,11,8.6,0,0,6,25,19,1,0,1,0,0,0,0,D,1,0,0,0,0,3,71,1.42,0.89,0.2,1.42
124793,777,34,False,4-2-3-1,50.2,583,0,19,423,349,228,209,209,143,100,53,29,54,29,14,3,3,3,1,20,0,0,7,2,2,5,6,4,4,0,5,1,1,0,0,0,1,0,15,8,2,38,11,44,51,10,14,15,22,1,1,5,13,0,0,15,16.2,1,1,1,18,9,3,0,2,1,0,1,1,D,1,1,0,0,0,3,46,0.79,0.49,1.48,0.79
124793,777,131,True,4-2-3-1,49.8,604,0,25,427,374,257,241,181,137,91,50,28,55,39,11,4,4,4,2,10,0,0,10,4,4,6,5,2,5,0,5,0,1,0,1,1,1,0,19,9,9,42,8,51,44,14,10,27,38,1,1,4,11,0,0,16,8.9,0,0,5,19,13,3,0,3,0,2,1,1,D,1,0,1,0,0,1,79,1.49,0.6,0.76,0.71
124794,777,15,True,4-2-3-1,54.4,613,0,25,417,343,157,139,284,209,169,54,18,52,19,24,5,5,3,0,19,0,0,11,5,5,6,7,3,4,3,3,0,1,0,2,4,2,2,12,7,9,48,14,53,48,20,16,24,25,2,3,9,15,0,0,7,12.9,1,1,4,15,24,1,0,2,0,0,3,1,W,3,3,0,0,0,2,70,1.86,0.99,1.5,1.86
124794,777,130,False,4-2-3-1,45.6,533,0,19,346,271,214,194,148,80,68,44,14,60,31,16,3,5,4,2,19,0,0,10,3,3,7,6,5,4,0,4,0,3,0,0,0,1,0,20,6,5,52,5,48,53,16,20,27,28,3,2,7,14,1,0,15,8.9,0,0,1,16,24,2,0,0,0,0,1,3,L,0,0,1,0,0,2,73,1.5,0.25,1.86,0.72
124795,777,25,False,3-4-1-2,62.8,731,0,28,550,468,219,199,357,274,169,59,26,70,48,26,5,7,7,1,20,0,0,12,4,5,7,9,1,2,0,3,0,3,0,0,0,0,0,12,7,4,42,6,46,42,19,18,16,22,6,1,7,15,0,0,10,11.0,0,0,4,22,12,1,0,0,0,0,0,3,L,0,0,0,0,0,2,50,0.57,0.53,0.68,0.57
124795,777,29,True,4-3-3,37.2,497,0,15,323,250,143,124,197,131,94,55,18,52,22,17,5,5,5,3,17,0,0,10,5,1,9,7,5,4,0,4,1,0,0,2,1,0,2,14,5,9,38,6,42,46,18,19,32,17,1,6,1,7,0,0,8,21.4,0,0,1,10,20,0,0,0,0,0,3,0,W,3,3,0,0,0,4,71,0.68,0.31,0.56,0.68
124796,777,21,True,4-3-3,67.3,676,0,26,511,451,270,250,268,209,125,42,20,43,26,27,8,6,5,2,17,0,0,16,6,4,12,7,7,9,1,5,0,0,0,1,1,1,3,12,9,1,38,3,47,45,17,18,26,19,1,2,11,14,0,0,14,8.8,0,0,2,8,21,0,0,0,0,0,3,0,W,3,3,0,0,0,4,58,2.33,1.3,0.94,2.33
124796,777,43,False,5-4-1,32.7,410,0,25,246,181,84,70,176,114,96,45,18,45,21,14,3,5,5,1,15,0,0,14,4,7,7,12,4,7,0,5,0,3,0,0,0,0,0,6,2,7,32,9,45,47,18,17,25,21,3,1,7,10,0,0,8,17.5,0,0,1,14,11,0,0,4,0,0,0,3,L,0,0,0,0,0,3,55,0.94,0.98,2.32,0.94
