team_id,season_id,formation_used,possession_percentage,ppda,touches,touches_in_final_third,touches_in_opp_box,total_pass,accurate_pass,total_back_zone_pass,accurate_back_zone_pass,total_fwd_zone_pass,accurate_fwd_zone_pass,total_final_third_passes,total_long_balls,accurate_long_balls,long_pass_own_to_opp,long_pass_own_to_opp_success,total_cross,accurate_cross,corner_taken,total_corners_intobox,accurate_corners_intobox,total_throws,carries,progressive_carries,total_scoring_att,ontarget_scoring_att,attempts_obox,attempts_ibox,attempts_conceded_ibox,attempts_conceded_obox,shot_off_target,first_half_goals,subs_made,subs_goals,goals_conceded_ibox,goals_conceded_obox,big_chance_missed,big_chance_created,big_chance_scored,goal_assist,total_tackle,won_tackle,interception,ball_recovery,dispossessed,duel_won,duel_lost,aerial_won,aerial_lost,total_clearance,defensive_actions,blocked_scoring_att,outfielder_block,won_contest,total_contest,error_lead_to_goal,big_chance_saves,fk_foul_lost,penalty_faced,pen_goals_conceded,poss_won_att_3rd,poss_won_mid_3rd,poss_won_def_3rd,total_yel_card,total_red_card,total_offside,pts_gained_losing_pos,pts_dropped_winning_pos,goals_scored,goals_conceded,non_penalty_goals,penalties_scored,penalties_missed,own_goals,saves,defensive_contribution,xa,npxg
1,777,4-3-3,56.16,11.39,24860,3316,1255,17897,15076,7598,6980,10976,8259,5787,1703,698,2187,1261,677,163,216,188,54,652,1955,1018,553,187,148,405,198,113,201,30,167,11,21,6,78,84,38,51,602,336,269,1711,318,1875,1763,603,575,903,1015,165,104,272,569,5,13,391,0,0,179,729,544,51,0,61,9,9,71,26,63,4,0,1,62,2731,44.0,63.62
2,777,4-2-3-1,53.57,13.64,24025,2649,981,17130,14614,8426,7729,9308,7020,4732,1613,752,2014,1225,604,135,199,145,52,604,1921,1007,483,170,178,305,324,167,172,21,175,11,43,6,61,64,26,40,587,349,238,1663,386,1739,1769,459,458,798,870,141,150,238,554,14,12,379,2,1,129,594,668,58,1,42,23,11,56,49,53,0,0,1,114,2537,33.66,49.95
4,777,4-2-3-1,57.69,11.73,27572,2784,1005,20535,17905,10288,9541,10927,8506,5251,1728,777,2356,1490,680,142,226,171,41,604,2007,993,509,166,172,337,296,120,177,26,158,5,48,4,57,75,45,39,592,338,371,1754,311,1810,1744,507,477,833,1034,166,106,273,592,9,8,420,2,2,137,710,630,90,8,58,14,19,58,49,50,7,1,1,106,2622,42.22,60.85
6,777,3-4-2-1,45.92,14.63,22195,1797,905,14920,11663,7117,6291,8412,5514,4121,2079,760,2360,1206,609,142,159,148,47,650,1366,733,442,142,119,323,314,133,169,20,136,7,47,4,66,70,32,23,705,414,314,1775,315,1938,1986,732,782,1279,987,131,108,154,370,7,10,398,7,5,119,691,708,74,2,71,9,21,41,48,32,8,0,2,109,3160,37.55,51.83
7,777,4-2-3-1,43.67,14.4,21964,2142,894,14474,11535,6133,5446,9016,6243,4699,2006,812,2407,1243,675,154,168,147,33,724,1390,698,422,142,132,290,357,176,150,19,128,5,46,4,42,53,29,34,702,403,311,1782,355,2184,2003,835,696,1131,1008,130,168,250,569,9,13,411,4,3,153,678,714,72,4,52,10,16,47,50,43,2,0,1,100,3275,33.36,44.89
9,777,3-5-2,45.8,13.86,22524,1998,899,15039,11935,7481,6724,8241,5392,3841,1997,784,2460,1228,683,181,168,161,61,698,1184,670,478,151,152,326,327,151,190,24,164,6,49,7,57,61,32,24,661,388,340,1710,318,1992,2053,717,791,1158,1024,137,141,214,504,3,10,398,6,6,154,663,632,62,1,60,10,17,48,54,42,6,2,1,101,3042,29.44,47.71
10,777,4-2-3-1,59.26,12.07,27496,3178,1278,20188,17305,8217,7469,12736,10005,6616,1760,797,2328,1439,765,169,232,203,59,735,1982,1031,589,175,205,384,286,149,223,24,151,4,42,11,64,80,36,44,494,303,264,1718,318,1761,1717,583,489,959,886,191,115,304,618,6,18,383,4,3,155,705,593,57,1,76,5,15,63,53,60,1,1,0,100,2717,41.59,59.01
11,777,4-1-4-1,60.54,12.51,29543,4245,1409,22342,19776,9149,8440,13812,11502,6895,1464,737,1888,1299,619,166,244,201,70,658,2932,1646,594,205,165,429,264,105,215,41,147,2,28,7,74,94,46,57,547,334,302,1753,375,1857,1699,491,363,820,975,174,105,409,824,6,13,368,2,1,176,738,647,67,0,44,5,20,77,35,71,3,1,0,92,2571,50.15,68.67
12,777,4-2-3-1,51.79,12.6,24915,2751,1047,17690,14659,7877,7039,10453,7795,5078,1889,867,2409,1418,640,175,181,161,51,654,1945,1098,596,216,204,392,300,143,216,29,148,5,44,6,68,77,41,46,693,410,325,1821,315,1943,1837,621,607,949,964,164,135,243,514,5,13,391,4,4,130,770,712,62,3,52,15,16,69,50,62,4,2,2,92,2959,41.75,60.29
15,777,4-2-3-1,46.75,15.31,22994,1933,844,15520,12739,7024,6300,9325,6615,4599,1944,829,2294,1217,829,176,198,165,41,684,1426,729,476,156,180,296,337,172,168,19,155,4,42,9,39,53,30,34,644,385,302,1803,324,1876,1911,543,608,973,911,152,168,279,590,10,14,407,6,5,146,664,803,60,1,61,14,8,48,53,44,3,0,3,109,3026,30.91,43.88
21,777,4-2-3-1,50.35,11.68,23600,1990,924,15715,12829,7788,6954,8700,6062,4192,1865,761,2180,1150,773,187,209,188,58,728,1620,861,436,146,135,301,316,151,164,20,165,5,44,13,45,55,26,36,743,455,319,1857,394,2055,2108,579,652,1010,1077,126,126,360,736,14,8,462,3,3,150,710,776,99,4,58,7,19,48,60,47,0,0,0,93,3122,27.74,41.45
23,777,4-3-3,52.56,12.1,24626,2280,990,17098,14224,7725,7024,10253,7390,5183,1817,785,2261,1316,880,190,230,202,52,693,1577,845,492,176,177,315,312,160,172,28,170,7,46,9,59,63,31,33,550,353,277,1858,341,1910,1843,672,570,1002,977,144,133,257,557,7,7,386,5,5,140,731,688,63,3,49,3,27,54,57,47,6,0,2,114,2814,35.5,53.2
25,777,4-2-3-1,42.49,15.73,21429,1946,771,13978,11016,6292,5595,8324,5561,3871,2021,768,2218,1075,638,140,187,175,44,687,1434,737,404,142,108,296,393,176,146,21,134,9,60,5,46,51,26,31,671,403,347,1731,332,1886,1857,571,606,1102,919,116,169,264,547,8,9,421,7,6,124,583,753,68,3,66,9,20,46,65,41,3,0,3,132,3082,25.34,44.27
29,777,4-2-3-1,44.9,14.27,21209,2128,764,14252,11305,6603,5914,8261,5507,4076,1981,761,2276,1142,612,116,138,118,32,664,1625,849,396,130,115,281,350,192,151,13,137,8,40,8,42,47,22,26,585,355,299,1698,274,1837,1830,660,683,1159,933,115,158,205,462,10,10,407,3,2,116,591,701,82,3,55,22,10,42,48,34,4,1,2,119,2889,24.96,34.55
34,777,4-2-3-1,51.71,14.43,25106,2925,951,18017,15116,9307,8442,9402,6849,4543,1829,826,2189,1254,692,175,187,158,47,726,2505,1350,484,140,158,326,313,138,187,18,180,10,45,6,37,41,24,26,650,389,326,1726,293,1784,1694,551,547,1010,923,157,129,231,486,8,14,415,4,3,96,669,709,75,1,65,14,11,47,51,38,5,0,3,98,2944,32.46,44.71
38,777,3-4-2-1,42.72,14.29,21335,1748,756,13821,10982,6754,5970,7765,5210,3475,1964,801,2197,1158,698,198,129,120,39,700,1393,765,370,123,132,238,353,180,154,13,157,6,58,10,36,41,18,18,724,425,324,1754,340,1948,2003,571,636,1100,985,93,140,257,532,15,15,494,5,5,98,604,781,77,3,53,5,11,27,67,23,3,2,4,104,2942,24.78,32.33
43,777,4-2-3-1,42.33,14.82,21771,1934,650,14626,11568,6977,6203,8172,5476,3900,2114,810,2258,1108,523,111,138,121,30,692,1487,763,355,118,139,216,427,213,120,16,173,8,69,6,33,44,22,27,637,365,343,1731,328,1725,1937,574,674,1142,966,117,183,195,469,11,9,395,8,7,107,606,759,64,3,57,11,15,38,74,33,2,0,4,137,3061,20.21,31.15
127,777,4-2-3-1,50.15,11.78,23575,2701,950,15727,12595,6734,6031,9724,6697,4887,2021,761,2420,1234,731,133,212,169,26,721,1996,1144,524,177,212,312,341,142,196,26,173,9,46,8,54,60,35,35,654,378,366,1967,315,1956,2104,632,723,1173,1040,151,157,295,641,3,11,457,6,6,174,752,799,88,2,73,17,22,58,53,52,5,1,3,109,3315,34.53,57.12
130,777,4-2-3-1,47.57,12.99,22364,1948,944,15024,11901,7456,6732,8251,5352,3992,2197,890,2408,1190,683,183,182,162,52,707,1457,764,405,147,99,306,324,184,162,24,136,3,48,4,69,87,45,33,554,324,331,1923,299,1868,2002,739,720,1111,956,96,162,246,595,10,16,390,8,5,119,737,823,69,1,58,10,17,55,57,45,8,2,3,110,3042,36.26,52.8
131,777,4-2-3-1,54.07,10.13,25412,2394,1074,18128,15213,9196,8475,9648,6930,4770,1785,774,2256,1313,716,192,185,159,50,634,1751,927,495,176,166,329,314,132,187,20,178,12,38,8,56,64,32,33,676,411,322,1854,325,1871,1955,564,547,895,1194,132,108,267,581,12,6,453,6,5,192,780,635,86,0,64,15,12,52,46,48,3,2,4,106,2933,36.55,53.98
