bridge_player_season_id,player_id,season_id,team_id,position,position_info,shirt_number,age,transfer_sequence
1,2100,777,131,M,Left/Centre/Right Central Midfielder,20,39,1
2,2896,777,23,G,Goalkeeper,26,38,1
3,2933,777,12,G,Goalkeeper,22,39,1
4,3170,777,127,G,Goalkeeper,17,37,1
5,3309,777,25,G,Goalkeeper,22,40,1
6,3452,777,131,F,Centre Striker,18,34,1
7,3457,777,131,G,Goalkeeper,23,34,1
8,3512,777,127,D,Right Full Back,15,34,1
9,3600,777,7,D,Right Full Back,23,36,1
10,3712,777,130,M,Centre Central Midfielder,6,35,1
11,3756,777,15,F,Forward,11,33,1
12,3894,777,34,M,Left/Centre/Right Attacking Midfielder,10,34,1
13,3905,777,23,D,Right Full Back,2,34,1
14,3955,777,43,D,Right Full Back,2,35,1
15,4115,777,2,M,Centre Central Midfielder,6,31,1
16,4229,777,38,D,Right Full Back,2,33,1
17,4245,777,2,G,Goalkeeper,23,33,1
18,4260,777,7,M,Attacking Midfielder,18,29,1
19,4331,777,38,G,Goalkeeper,31,32,1
20,4333,777,7,D,Centre Central Defender,5,32,1
21,4408,777,21,D,Left Full Back,33,32,1
22,4499,777,11,D,Left/Centre Central Defender,6,30,1
23,4505,777,11,D,Centre Central Defender,5,31,1
24,4511,777,11,G,Goalkeeper,13,33,1
25,4604,777,6,D,Right Full Back,17,34,1
26,4608,777,12,D,Left Full Back,23,30,1
27,4617,777,25,M,Centre Central Midfielder,20,30,1
28,4617,777,43,M,Centre Central Midfielder,20,31,2
29,4640,777,7,G,Goalkeeper,1,31,1
30,4717,777,34,F,Left/Centre/Right Second Striker,17,29,1
31,4727,777,29,G,Goalkeeper,21,35,1
32,4818,777,34,M,Centre Central Midfielder,6,30,1
33,4874,777,131,D,Centre/Right Full Back,34,33,1
34,4880,777,34,D,Right Full Back,2,29,1
35,4979,777,34,F,Right Winger,17,29,1
36,4979,777,25,F,Right Winger,17,30,2
37,4985,777,34,G,Goalkeeper,1,33,1
38,5066,777,2,D,Centre Central Defender,3,31,1
39,5067,777,11,M,Left/Centre Attacking Midfielder,20,31,1
40,5140,777,10,D,Centre Central Defender,4,34,1
41,5178,777,10,F,Left/Centre/Right Winger,11,33,1
42,5220,777,23,D,Defender,5,33,1
43,5748,777,25,G,Goalkeeper,23,32,1
44,5758,777,2,D,Left Full Back,12,32,1
45,5793,777,12,M,Centre Central Midfielder,18,33,1
46,5865,777,2,M,Centre Central Midfielder,8,28,1
47,6451,777,43,G,Goalkeeper,1,37,1
48,6712,777,34,D,Right Full Back,21,29,1
49,7975,777,1,G,Goalkeeper,1,29,1
50,8127,777,43,M,Central Midfielder,29,30,1
51,8143,777,7,D,Centre Central Defender,6,32,1
52,8163,777,131,D,Defender,30,33,1
53,8171,777,131,M,Right Winger,7,31,1
54,8246,777,43,F,Striker,35,35,1
55,8321,777,23,G,Goalkeeper,29,33,1
56,8454,777,25,F,Striker,9,33,1
57,8456,777,21,M,Left/Centre/Right Attacking Midfielder,10,29,1
58,8589,777,6,M,Centre Central Midfielder,19,30,1
59,8658,777,2,F,Left/Centre/Right Second Striker,11,29,1
60,8707,777,23,D,Centre Central Defender,33,33,1
61,8868,777,25,F,Centre Striker,20,28,1
62,8900,777,2,D,Centre Central Defender,5,32,1
63,8938,777,9,G,Goalkeeper,21,32,1
64,8945,777,9,D,Right Full Back,25,31,1
65,9199,777,38,F,Centre Striker,9,28,1
66,9251,777,9,G,Goalkeeper,26,35,1
67,9257,777,23,D,Central Defender,24,,1
68,9566,777,12,D,Centre Central Defender,5,32,1
69,9576,777,9,F,Striker,9,28,1
70,9662,777,23,M,Left/Right Winger,14,30,1
71,10079,777,23,G,Goalkeeper,1,33,1
72,10361,777,29,M,Centre Central Midfielder,13,31,1
73,10394,777,29,F,Left/Right Winger,25,30,1
74,10439,777,15,D,Right Full Back,34,28,1
75,10443,777,21,F,Striker,19,27,1
76,10458,777,10,D,Left Full Back,26,31,1
77,10479,777,10,G,Goalkeeper,28,29,1
78,10539,777,43,M,Centre Central Midfielder,24,29,1
79,10651,777,10,D,Left/Centre/Right Central Defender,2,28,1
80,10766,777,127,M,Centre Central Midfielder,4,28,1
81,10801,777,7,G,Goalkeeper,31,30,1
82,10947,777,130,D,Left Full Back,3,28,1
83,11071,777,34,F,Striker,7,34,1
84,11284,777,29,D,Left Full Back,26,,1
