match_event_id,fixture_id,season_id,team_id,event_type,player1_id,player2_id,minute
event_0,124791,777,127,yellow,13706,,14
event_1,124791,777,10,goal,81542,63633,37
event_2,124791,777,10,yellow,116665,,43
event_3,124791,777,10,goal,32894,81542,49
event_4,124791,777,10,substitution,10458,116665,60
event_5,124791,777,10,substitution,43586,19919,60
event_6,124791,777,127,goal,25474,13706,64
event_7,124791,777,10,substitution,10651,81542,72
event_8,124791,777,10,substitution,23815,63633,72
event_9,124791,777,127,substitution,63553,74976,74
event_10,124791,777,127,goal,25474,63553,76
event_11,124791,777,127,yellow,33032,,81
event_12,124791,777,10,substitution,15802,75382,82
event_13,124791,777,127,substitution,133123,13706,84
event_14,124791,777,10,goal,15802,,88
event_15,124791,777,127,substitution,51942,3512,90
event_16,124791,777,127,substitution,137832,42894,90+1'
event_17,124791,777,10,goal,5178,43586,90+4'
event_18,124792,777,23,yellow,20607,,45
event_19,124792,777,2,yellow,25067,,58
event_20,124792,777,2,red,13274,,66
event_21,124792,777,23,substitution,9662,49259,78
event_22,124792,777,23,substitution,117647,20607,83
event_23,124792,777,2,substitution,14456,51423,84
event_24,124792,777,23,substitution,114590,14716,90
event_25,124793,777,34,yellow,23793,,31
event_26,124793,777,131,penalty goal,14671,,55
event_27,124793,777,131,yellow,117732,,60
event_28,124793,777,34,substitution,3894,21614,66
event_29,124793,777,34,substitution,4979,4717,66
event_30,124793,777,34,substitution,117763,11071,66
event_31,124793,777,131,substitution,3452,51830,69
event_32,124793,777,131,substitution,50727,136175,69
event_33,124793,777,131,substitution,143240,124396,69
event_34,124793,777,131,yellow,50727,,73
event_35,124793,777,34,substitution,14445,128976,77
event_36,124793,777,131,yellow,143240,,78
event_37,124793,777,131,substitution,134176,117732,83
event_38,124793,777,34,substitution,6712,35752,84
event_39,124793,777,131,substitution,2100,14671,88
event_40,124793,777,34,yellow,3894,,90+3'
event_41,124793,777,34,goal,117763,,90+7'
event_42,124793,777,34,yellow,117763,,90+8'
event_43,124794,777,15,goal,3756,,6
event_44,124794,777,15,goal,50623,15259,42
event_45,124794,777,15,goal,3756,51593,45+2'
event_46,124794,777,130,substitution,127594,115336,46
event_47,124794,777,130,yellow,24659,,52
event_48,124794,777,15,yellow,23811,,53
event_49,124794,777,130,substitution,3712,49726,69
event_50,124794,777,130,substitution,108612,24369,69
event_51,124794,777,130,penalty goal,124052,,78
event_52,124794,777,15,substitution,304123,3756,79
event_53,124794,777,15,substitution,133025,50623,80
event_54,124794,777,15,substitution,14238,15259,84
event_55,124794,777,130,substitution,115166,10947,88
event_56,124794,777,130,yellow,115166,,90
event_57,124795,777,29,substitution,66659,110430,53
event_58,124795,777,29,goal,126920,66659,61
event_59,124795,777,25,yellow,13522,,70
event_60,124795,777,25,substitution,8454,40159,71
event_61,124795,777,25,substitution,25183,4617,71
event_62,124795,777,29,goal,19864,,73
event_63,124795,777,29,substitution,52989,126920,76
event_64,124795,777,29,substitution,138104,126317,76
