team_id,season_id,matches_played,wins,draws,losses,goals_for,goals_against,goals_difference,points,home_matches_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,home_goals_difference,home_points,away_matches_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,away_goals_difference,away_points,xg,xga,xgd
1,777,38,27,6,5,71,26,45,87,19,15,2,2,41,11,30,47,19,12,4,3,30,15,15,40,66.74,28.54,38.2
2,777,38,19,8,11,56,49,7,65,19,12,2,5,32,22,10,38,19,7,6,6,24,27,-3,27,49.95,53.94,-3.99
4,777,38,14,11,13,58,49,9,53,19,7,5,7,26,25,1,26,19,7,6,6,32,24,8,27,67.09,52.76,14.33
6,777,38,11,13,14,41,48,-7,46,19,4,9,6,19,23,-4,21,19,7,4,8,22,25,-3,25,58.07,52.52,5.55
7,777,38,13,10,15,47,50,-3,49,19,6,5,8,26,27,-1,23,19,7,5,7,21,23,-2,26,46.45,56.24,-9.79
9,777,38,11,14,13,48,54,-6,47,19,9,5,5,30,21,9,32,19,2,9,8,18,33,-15,15,53.95,55.04,-1.09
10,777,38,17,9,12,63,53,10,60,19,10,6,3,34,20,14,36,19,7,3,9,29,33,-4,24,60.57,47.63,12.94
11,777,38,21,11,6,77,35,42,74,19,13,4,2,46,14,32,43,19,8,7,4,31,21,10,31,71.79,44.24,27.55
12,777,38,20,11,7,69,50,19,71,19,13,3,3,39,24,15,42,19,7,8,4,30,26,4,29,64.97,48.49,16.48
15,777,38,11,10,17,48,53,-5,43,19,4,7,8,20,25,-5,19,19,7,3,9,28,28,0,24,46.22,56.11,-9.89
21,777,38,10,10,18,48,60,-12,40,19,3,5,11,22,34,-12,14,19,7,5,7,26,26,0,26,41.45,51.76,-10.31
23,777,38,14,7,17,54,57,-3,49,19,10,2,7,37,32,5,32,19,4,5,10,17,25,-8,17,57.88,51.72,6.16
25,777,38,10,9,19,46,65,-19,39,19,6,4,9,27,30,-3,22,19,4,5,10,19,35,-16,17,46.61,59.28,-12.67
29,777,38,14,12,12,42,48,-6,54,19,9,6,4,25,20,5,33,19,5,6,8,17,28,-11,21,38.45,54.15,-15.7
34,777,38,15,7,16,47,51,-4,52,19,11,2,6,30,20,10,35,19,4,5,10,17,31,-14,17,48.61,52.73,-4.12
38,777,38,4,10,24,27,67,-40,22,19,3,5,11,17,32,-15,14,19,1,5,13,10,35,-25,8,36.23,58.93,-22.7
43,777,38,4,11,23,38,74,-36,23,19,2,8,9,18,28,-10,14,19,2,3,14,20,46,-26,9,32.71,76.08,-43.37
127,777,38,13,18,7,58,53,5,57,19,7,10,2,27,18,9,31,19,6,8,5,31,35,-4,26,61.8,56.72,5.08
130,777,38,14,10,14,55,57,-2,52,19,8,7,4,33,23,10,31,19,6,3,10,22,34,-12,21,60.6,54.45,6.15
131,777,38,14,11,13,52,46,6,53,19,8,7,4,27,20,7,31,19,6,4,9,25,26,-1,22,57.88,49.06,8.82
