shot_event_id,fixture_id,season_id,team_id,player1_id,player2_id,minute,shot_type,body_part,distance,outcome
shot_0,124791,777,10,81542,32894,3,Open Play,Right Foot,Outside Box,Saved
shot_1,124791,777,10,5178,81542,4,Open Play,Left Foot,Inside Box,Saved
shot_2,124791,777,10,5140,5178,5,Set Piece,Header,Inside Box,Missed
shot_3,124791,777,127,25474,74965,6,Open Play,Right Foot,Inside Box,Missed
shot_4,124791,777,127,33032,13706,10,Set Piece,Header,Inside Box,Missed
shot_5,124791,777,10,5140,75382,31,Open Play,Header,Inside Box,Saved
shot_6,124791,777,127,14846,3512,35,Open Play,Right Foot,Inside Box,Saved
shot_7,124791,777,10,81542,63633,37,Open Play,Right Foot,Inside Box,Goal
shot_8,124791,777,10,81542,32894,39,Open Play,Header,Inside Box,Missed
shot_9,124791,777,127,13706,,42,Open Play,Right Foot,Inside Box,Blocked
shot_10,124791,777,127,14846,,45+2',Open Play,Left Foot,Outside Box,Blocked
shot_11,124791,777,10,5178,32894,45+3',Open Play,Left Foot,Inside Box,Blocked
shot_12,124791,777,127,33032,13706,45+4',Open Play,Left Foot,Inside Box,Missed
shot_13,124791,777,10,81542,75382,47,Set Piece,,Inside Box,Missed
shot_14,124791,777,10,32894,81542,49,Open Play,Right Foot,Inside Box,Goal
shot_15,124791,777,10,63633,75382,52,Open Play,Right Foot,Outside Box,Saved
shot_16,124791,777,10,19919,,53,Open Play,Right Foot,Outside Box,Blocked
shot_17,124791,777,10,33231,,54,Open Play,Right Foot,Outside Box,Missed
shot_18,124791,777,10,75382,33231,63,Open Play,Right Foot,Inside Box,Missed
shot_19,124791,777,127,25474,13706,64,Open Play,Left Foot,Inside Box,Goal
shot_20,124791,777,10,32894,33231,70,Open Play,Right Foot,Inside Box,Saved
shot_21,124791,777,127,33032,54989,71,Open Play,Header,Inside Box,Missed
shot_22,124791,777,127,13706,14846,71,Open Play,Left Foot,Inside Box,Blocked
shot_23,124791,777,127,25474,63553,76,Open Play,Left Foot,Outside Box,Goal
shot_24,124791,777,10,33231,23815,80,Open Play,Left Foot,Inside Box,Missed
shot_25,124791,777,10,33231,5178,81,Open Play,Right Foot,Inside Box,Saved
shot_26,124791,777,10,15802,,88,Open Play,Right Foot,Inside Box,Goal
shot_27,124791,777,10,32894,,88,Set Piece,Right Foot,Inside Box,Missed
shot_28,124791,777,10,5178,43586,90+4',Open Play,Right Foot,Inside Box,Goal
shot_29,124792,777,23,23747,,3,Open Play,Right Foot,Inside Box,Blocked
shot_30,124792,777,23,49259,71623,3,Open Play,Right Foot,Inside Box,Saved
shot_31,124792,777,23,23747,,8,Open Play,Right Foot,Inside Box,Blocked
shot_32,124792,777,23,23747,14716,11,Open Play,Header,Inside Box,Missed
shot_33,124792,777,23,49259,14716,13,Open Play,Right Foot,Inside Box,Missed
shot_34,124792,777,23,23747,14716,16,Open Play,Right Foot,Outside Box,Saved
shot_35,124792,777,23,23747,14716,27,Open Play,Right Foot,Inside Box,Blocked
shot_36,124792,777,23,5220,49495,28,Open Play,Right Foot,Outside Box,Missed
shot_37,124792,777,2,25067,51423,47,Open Play,Header,Inside Box,Saved
shot_38,124792,777,2,8658,23968,65,Open Play,Left Foot,Inside Box,Saved
shot_39,124792,777,23,5220,71623,68,Set Piece,Right Foot,Outside Box,Missed
shot_40,124792,777,23,23747,49495,72,Open Play,Right Foot,Outside Box,Blocked
shot_41,124792,777,23,14716,49259,73,Open Play,Right Foot,Inside Box,Blocked
shot_42,124792,777,23,14716,49259,77,Open Play,Right Foot,Outside Box,Blocked
shot_43,124792,777,2,14456,8658,87,Open Play,Right Foot,Inside Box,Saved
shot_44,124792,777,23,14716,23747,88,Open Play,Right Foot,Inside Box,Missed
shot_45,124792,777,23,23747,74761,90+1',Open Play,Right Foot,Outside Box,Saved
shot_46,124792,777,23,114590,117647,90+4',Open Play,Left Foot,Inside Box,Blocked
shot_47,124792,777,23,5220,3905,90+7',Open Play,Right Foot,,Missed
shot_48,124793,777,34,11071,4717,2,Open Play,Left Foot,Inside Box,Missed
shot_49,124793,777,131,124396,,14,Open Play,Right Foot,Outside Box,Missed
shot_50,124793,777,131,51830,67928,26,Open Play,Right Foot,Outside Box,Saved
shot_51,124793,777,131,117732,14671,28,Open Play,Header,Inside Box,Missed
shot_52,124793,777,131,51830,124396,38,Open Play,Left Foot,Outside Box,Blocked
shot_53,124793,777,34,13961,4717,43,Open Play,Header,Inside Box,Missed
shot_54,124793,777,131,72239,67928,43,Open Play,Header,Inside Box,Saved
shot_55,124793,777,34,11071,,48,Open Play,Right Foot,Inside Box,Missed
shot_56,124793,777,34,128976,4717,48,Open Play,Left Foot,,Saved
shot_57,124793,777,131,14671,,55,Penalty,Left Foot,Inside Box,Goal
shot_58,124793,777,34,4717,128976,58,Open Play,Right Foot,Outside Box,Missed
shot_59,124793,777,131,136175,,65,Open Play,Left Foot,Inside Box,Missed
shot_60,124793,777,131,143240,14671,76,Open Play,Right Foot,Outside Box,Saved
shot_61,124793,777,131,8163,14671,87,Set Piece,Header,Inside Box,Missed
shot_62,124793,777,131,134176,143240,89,Open Play,Right Foot,Inside Box,Missed
shot_63,124793,777,34,14445,16044,90+6',Open Play,Right Foot,Outside Box,Blocked
shot_64,124793,777,34,117763,,90+7',Set Piece,Left Foot,Inside Box,Goal
shot_65,124794,777,15,3756,,6,Set Piece,Right Foot,Inside Box,Goal
shot_66,124794,777,15,51593,23811,11,Open Play,Left Foot,Inside Box,Missed
shot_67,124794,777,15,51593,15259,11,Open Play,Right Foot,Inside Box,Blocked
shot_68,124794,777,15,51593,,18,Open Play,Left Foot,Outside Box,Saved
shot_69,124794,777,15,15259,10439,18,Open Play,Right Foot,Outside Box,Blocked
shot_70,124794,777,130,128891,124052,24,Open Play,Right Foot,Outside Box,Saved
shot_71,124794,777,130,24659,49726,26,Open Play,Header,Inside Box,Blocked
shot_72,124794,777,130,124052,49726,40,Open Play,Left Foot,Inside Box,Blocked
shot_73,124794,777,130,49726,10947,40,Open Play,Right Foot,Inside Box,Missed
shot_74,124794,777,15,50623,15259,42,Open Play,Header,Inside Box,Goal
shot_75,124794,777,15,3756,51593,45+2',Open Play,Left Foot,Inside Box,Goal
shot_76,124794,777,130,24369,,51,Open Play,Left Foot,Outside Box,Missed
shot_77,124794,777,130,24369,,54,Open Play,Header,Inside Box,Missed
shot_78,124794,777,15,108816,23811,55,Open Play,Right Foot,Outside Box,Missed
shot_79,124794,777,130,32289,128891,59,Open Play,Right Foot,Outside Box,Missed
shot_80,124794,777,15,23702,15259,61,Open Play,Right Foot,Outside Box,Saved
shot_81,124794,777,15,15259,23702,63,Open Play,Right Foot,Inside Box,Missed
shot_82,124794,777,15,15259,23702,65,Open Play,Right Foot,Outside Box,Missed
shot_83,124794,777,130,65987,133460,73,Open Play,Header,Inside Box,Saved
shot_84,124794,777,130,65987,133460,75,Open Play,Header,Inside Box,Blocked
shot_85,124794,777,130,124052,,78,Penalty,Right Foot,Inside Box,Goal
shot_86,124795,777,25,8868,4617,3,Open Play,Right Foot,Inside Box,Saved
shot_87,124795,777,25,145347,,4,Set Piece,Left Foot,Outside Box,Missed
shot_88,124795,777,29,126110,126920,6,Open Play,Right Foot,Inside Box,Saved
shot_89,124795,777,29,19864,12136,7,Set Piece,Header,Inside Box,Missed
shot_90,124795,777,25,145347,42569,26,Open Play,Left Foot,Inside Box,Blocked
shot_91,124795,777,25,42569,145347,27,Open Play,Right Foot,Inside Box,Blocked
shot_92,124795,777,25,8868,145347,29,Open Play,Left Foot,Outside Box,Blocked
shot_93,124795,777,25,40159,,42,Open Play,Right Foot,Outside Box,Blocked
shot_94,124795,777,29,19864,12136,44,Open Play,Header,Inside Box,Saved
shot_95,124795,777,29,126920,,44,Open Play,Right Foot,Inside Box,Blocked
shot_96,124795,777,29,126317,,48,Open Play,Right Foot,Inside Box,Missed
shot_97,124795,777,29,19864,122126,58,Set Piece,Header,Inside Box,Missed
shot_98,124795,777,29,126110,126317,60,Open Play,Left Foot,Outside Box,Missed
shot_99,124795,777,29,126920,66659,61,Open Play,Header,Inside Box,Goal
shot_100,124795,777,29,19864,,73,Set Piece,Header,Inside Box,Goal
shot_101,124795,777,25,145347,,78,Open Play,Left Foot,Outside Box,Blocked
shot_102,124795,777,25,25183,,85,Open Play,Left Foot,Inside Box,Saved
shot_103,124795,777,25,8868,136505,85,Open Play,Header,Inside Box,Blocked
shot_104,124795,777,25,8454,,87,Set Piece,Header,Inside Box,Missed
shot_105,124795,777,25,42569,14164,90,Open Play,Header,Inside Box,Saved
shot_106,124795,777,29,52989,118633,90+2',Open Play,Right Foot,Inside Box,Goal
shot_107,124795,777,25,8868,13522,90+6',Open Play,Left Foot,Outside Box,Blocked
shot_108,124796,777,21,49374,,1,Set Piece,Right Foot,Outside Box,Missed
shot_109,124796,777,21,133603,,1,Open Play,Right Foot,Inside Box,Saved
shot_110,124796,777,21,24630,51364,10,Open Play,Right Foot,Inside Box,Goal
shot_111,124796,777,21,24630,32229,12,Open Play,Header,Inside Box,Missed
shot_112,124796,777,43,50460,10539,14,Set Piece,Header,Inside Box,Missed
shot_113,124796,777,43,128643,,15,Set Piece,Left Foot,Inside Box,Missed
shot_114,124796,777,43,8127,50460,23,Open Play,Right Foot,Outside Box,Saved
shot_115,124796,777,43,50460,10539,24,Open Play,Right Foot,Outside Box,Blocked
shot_116,124796,777,43,3955,10539,24,Open Play,Right Foot,Outside Box,Missed
shot_117,124796,777,43,64282,10539,27,Open Play,Right Foot,Outside Box,Blocked
shot_118,124796,777,43,124531,50460,29,Open Play,,Inside Box,Saved
shot_119,124796,777,43,8127,127393,30,Open Play,Right Foot,Inside Box,Missed
shot_120,124796,777,43,68593,,32,Set Piece,Right Foot,Outside Box,Missed
shot_121,124796,777,21,23764,51364,40,Open Play,Right Foot,Outside Box,Missed
shot_122,124796,777,43,8127,128643,43,Open Play,Right Foot,Outside Box,Saved
shot_123,124796,777,21,75582,51364,49,Set Piece,Header,Inside Box,Missed
shot_124,124796,777,21,51364,,52,Open Play,Left Foot,Inside Box,Missed
shot_125,124796,777,21,24630,,52,Open Play,Left Foot,Inside Box,Saved
shot_126,124796,777,21,24630,49374,52,Open Play,Right Foot,Inside Box,Blocked
shot_127,124796,777,43,50460,64282,58,Open Play,Right Foot,Inside Box,Saved
shot_128,124796,777,43,64282,8127,58,Open Play,Left Foot,Inside Box,Missed
shot_129,124796,777,21,24630,51364,60,Open Play,Right Foot,Inside Box,Goal
shot_130,124796,777,21,32229,49374,64,Open Play,Right Foot,Outside Box,Missed
shot_131,124796,777,21,49374,117318,66,Open Play,Right Foot,Inside Box,Goal
shot_132,124796,777,43,74960,64282,68,Open Play,Right Foot,Outside Box,Missed
shot_133,124796,777,21,75582,51364,70,Set Piece,Header,Inside Box,Missed
shot_134,124796,777,43,50460,10539,73,Open Play,Right Foot,Inside Box,Blocked
shot_135,124796,777,21,10443,32229,75,Open Play,Left Foot,Inside Box,Missed
shot_136,124796,777,21,23764,118579,84,Open Play,Right Foot,,Saved
shot_137,124796,777,21,51364,32229,85,Set Piece,Left Foot,Outside Box,Missed
shot_138,124797,777,11,65970,5067,18,Set Piece,Header,Inside Box,Missed
shot_139,124797,777,11,65970,5067,19,Open Play,Header,Inside Box,Missed
shot_140,124797,777,38,35670,52951,26,Open Play,Right Foot,Inside Box,Blocked
shot_141,124797,777,38,126108,133679,29,Open Play,Right Foot,Outside Box,Missed
shot_142,124797,777,11,71432,,33,Open Play,Right Foot,Outside Box,Blocked
shot_143,124797,777,11,67849,,33,Open Play,Right Foot,Outside Box,Blocked
shot_144,124797,777,11,65970,99281,34,Open Play,Left Foot,Inside Box,Goal
shot_145,124797,777,11,67849,71432,34,Open Play,Right Foot,Outside Box,Blocked
shot_146,124797,777,11,26335,66657,37,Open Play,Left Foot,Inside Box,Goal
shot_147,124797,777,11,65970,5067,43,Set Piece,Header,Inside Box,Missed
shot_148,124797,777,11,65970,5067,45+4',Set Piece,Header,Inside Box,Missed
shot_149,124797,777,38,35670,,46,Open Play,Left Foot,Inside Box,Missed
shot_150,124797,777,11,71432,,52,Open Play,Left Foot,Outside Box,Missed
shot_151,124797,777,38,35670,126108,58,Open Play,Right Foot,Inside Box,Saved
shot_152,124797,777,11,65970,26335,61,Open Play,Left Foot,Inside Box,Goal
shot_153,124797,777,38,76310,,74,Open Play,Right Foot,Inside Box,Blocked
shot_154,124797,777,38,35670,143218,75,Open Play,Right Foot,Inside Box,Saved
shot_155,124797,777,38,110203,92635,77,Open Play,Right Foot,Outside Box,Missed
shot_156,124797,777,11,68150,,81,Open Play,Right Foot,Outside Box,Goal
shot_157,124797,777,38,303861,20337,87,Open Play,Left Foot,Outside Box,Blocked
shot_158,124797,777,11,26335,66657,87,Open Play,Right Foot,Outside Box,Missed
shot_159,124797,777,11,26335,,90+2',Set Piece,Right Foot,Inside Box,Missed
shot_160,124797,777,11,76216,,90+2',Open Play,Right Foot,Outside Box,Blocked
shot_161,124797,777,38,303861,66692,90+3',Open Play,Left Foot,Inside Box,Saved
shot_162,124798,777,4,27277,14571,3,Open Play,Header,Inside Box,Blocked
shot_163,124798,777,6,21584,14569,5,Open Play,Right Foot,,Missed
shot_164,124798,777,6,50842,,9,Set Piece,Header,Inside Box,Missed
shot_165,124798,777,6,20874,,18,Open Play,Right Foot,Outside Box,Blocked
shot_166,124798,777,6,20874,69595,19,Open Play,Right Foot,Inside Box,Saved
shot_167,124798,777,4,49293,68583,21,Open Play,Left Foot,Inside Box,Missed
shot_168,124798,777,4,125075,14571,23,Open Play,Header,Inside Box,Blocked
shot_169,124798,777,4,21998,63741,23,Open Play,Left Foot,Outside Box,Blocked
shot_170,124798,777,6,21584,69595,25,Open Play,Right Foot,Outside Box,Saved
shot_171,124798,777,4,68583,,26,Open Play,Left Foot,Outside Box,Blocked
shot_172,124798,777,4,14575,,30,Set Piece,Right Foot,Inside Box,Missed
shot_173,124798,777,4,68583,,30,Open Play,Right Foot,Outside Box,Blocked
shot_174,124798,777,4,112203,,30,Open Play,Right Foot,Outside Box,Blocked
shot_175,124798,777,4,72371,68583,30,Open Play,Left Foot,Inside Box,Blocked
shot_176,124798,777,4,27277,,45+2',Open Play,Left Foot,Outside Box,Missed
shot_177,124798,777,4,49293,14571,45+2',Open Play,Left Foot,Outside Box,Blocked
shot_178,124798,777,6,76353,,45+4',Open Play,Left Foot,Inside Box,Missed
shot_179,124798,777,6,21584,,45+4',Open Play,Right Foot,Outside Box,Blocked
shot_180,124798,777,6,21584,,45+4',Open Play,Left Foot,Inside Box,Blocked
shot_181,124798,777,4,49293,,59,Open Play,Left Foot,Outside Box,Blocked
shot_182,124798,777,4,72371,21998,62,Set Piece,Header,Inside Box,Missed
shot_183,124798,777,4,49293,,64,Open Play,Right Foot,Inside Box,Blocked
shot_184,124798,777,4,304474,,66,Open Play,Left Foot,Inside Box,Missed
